epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,1788.61,0.93362,0.87488,1.15686,0.83395,0.65575,0.72642,0.39512,1.52234,0.96288,1.56077,0.000332296,0.000332296,0.000332296
56,1820.34,0.91453,0.83827,1.14799,0.85103,0.66015,0.73085,0.39838,1.54086,0.93514,1.56424,0.000325227,0.000325227,0.000325227
57,1852.73,0.90713,0.83385,1.13916,0.87106,0.64845,0.73015,0.41106,1.47044,0.98981,1.50342,0.000318158,0.000318158,0.000318158
58,1885.6,0.89705,0.83547,1.14358,0.85994,0.62975,0.7192,0.39641,1.5269,0.96557,1.55065,0.00031109,0.00031109,0.00031109
59,1917.04,0.89974,0.82801,1.13727,0.86564,0.6448,0.73432,0.41962,1.45373,0.95885,1.49365,0.000304021,0.000304021,0.000304021
60,1949.1,0.90656,0.82863,1.14077,0.8706,0.65456,0.73585,0.41703,1.49639,0.94769,1.51277,0.000296953,0.000296953,0.000296953
61,1981.3,0.90351,0.83625,1.13817,0.86287,0.62388,0.72494,0.41888,1.47002,0.93878,1.52,0.000289884,0.000289884,0.000289884
62,2014.09,0.90117,0.82873,1.13744,0.87417,0.65811,0.74506,0.40423,1.55754,0.93499,1.57323,0.000282815,0.000282815,0.000282815
63,2045.51,0.88454,0.81483,1.13262,0.90213,0.64867,0.74514,0.42223,1.47734,0.8954,1.51552,0.000275747,0.000275747,0.000275747
64,2077.8,0.88567,0.80593,1.13063,0.88624,0.65781,0.739,0.42203,1.46797,0.90962,1.5149,0.000268678,0.000268678,0.000268678
65,2109.43,0.88917,0.80763,1.12502,0.8906,0.65921,0.74949,0.42911,1.44144,0.90333,1.48451,0.00026161,0.00026161,0.00026161
66,2142.39,0.89167,0.80025,1.12478,0.86543,0.67583,0.74015,0.43676,1.43208,0.90417,1.48248,0.000254541,0.000254541,0.000254541
67,2175,0.87703,0.78692,1.11866,0.83453,0.67961,0.74485,0.44498,1.36805,0.89823,1.4329,0.000247472,0.000247472,0.000247472
68,2207.15,0.8833,0.78462,1.11644,0.8452,0.66903,0.74516,0.43639,1.418,0.8974,1.47016,0.000240404,0.000240404,0.000240404
69,2239.22,0.86945,0.7791,1.11559,0.87086,0.65926,0.74413,0.44124,1.37785,0.8727,1.44657,0.000233335,0.000233335,0.000233335
70,2271.73,0.87112,0.78406,1.118,0.84525,0.67319,0.74227,0.43465,1.41898,0.87519,1.47015,0.000226267,0.000226267,0.000226267
